,1,2,3,4,5,6,7,Total
MALUKU TENGAH,0.289773,0.017045,0.590909,0.039773,0.000000,0.056818,0.005682,176
MALUKU TENGGARA,0.954023,0.011494,0.011494,0.022989,0.000000,0.000000,0.000000,87
MALUKU TENGGARA BARAT,0.770270,0.000000,0.108108,0.094595,0.000000,0.000000,0.027027,74
MAMASA,0.881356,0.000000,0.056497,0.045198,0.000000,0.016949,0.000000,177
MAMBERAMO RAYA,0.871795,0.000000,0.025641,0.102564,0.000000,0.000000,0.000000,39
MAMBERAMO TENGAH,0.847458,0.000000,0.033898,0.101695,0.000000,0.016949,0.000000,59
MAMUJU,0.877419,0.000000,0.006452,0.077419,0.000000,0.038710,0.000000,155
MAMUJU UTARA,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63
MANADO,0.919540,0.000000,0.034483,0.045977,0.000000,0.000000,0.000000,87
MANDAILING NATAL,0.948529,0.000000,0.002451,0.024510,0.000000,0.022059,0.002451,408
MANGGARAI,0.892617,0.006711,0.026846,0.033557,0.000000,0.040268,0.000000,149
MANGGARAI BARAT,0.983471,0.000000,0.000000,0.016529,0.000000,0.000000,0.000000,121
MANGGARAI TIMUR,0.954545,0.000000,0.005682,0.022727,0.000000,0.017045,0.000000,176
MANOKWARI,0.930456,0.002398,0.004796,0.019185,0.000000,0.043165,0.000000,417
MAPPI,0.992701,0.000000,0.000000,0.007299,0.000000,0.000000,0.000000,137
MAROS,0.825243,0.000000,0.000000,0.077670,0.000000,0.087379,0.009709,103
MATARAM,0.980000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,50
MAYBRAT,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129
MEDAN,0.907285,0.000000,0.000000,0.046358,0.006623,0.039735,0.000000,151
MELAWI,0.982249,0.000000,0.017751,0.000000,0.000000,0.000000,0.000000,169
MERANGIN,0.721698,0.000000,0.259434,0.018868,0.000000,0.000000,0.000000,212
MERAUKE,0.744048,0.000000,0.113095,0.107143,0.000000,0.017857,0.017857,168
MESUJI,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76
METRO,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22
MIMIKA,0.917647,0.000000,0.000000,0.000000,0.000000,0.070588,0.011765,85
MINAHASA,0.924051,0.016878,0.012658,0.021097,0.000000,0.025316,0.000000,237
MINAHASA SELATAN,0.952941,0.000000,0.000000,0.000000,0.000000,0.047059,0.000000,170
MINAHASA TENGGARA,0.895833,0.027778,0.006944,0.034722,0.000000,0.034722,0.000000,144
MINAHASA UTARA,0.984000,0.000000,0.000000,0.008000,0.000000,0.008000,0.000000,125
MOJOKERTO,0.456522,0.003106,0.124224,0.251553,0.006211,0.149068,0.009317,322
MOROWALI,0.208333,0.025000,0.150000,0.200000,0.004167,0.308333,0.104167,240
MUARA ENIM,0.975460,0.000000,0.000000,0.015337,0.000000,0.006135,0.003067,326
MUARO JAMBI,0.993377,0.000000,0.000000,0.000000,0.000000,0.006623,0.000000,151
MUKOMUKO,0.934211,0.000000,0.006579,0.013158,0.000000,0.046053,0.000000,152
MUNA,0.560669,0.000000,0.338912,0.037657,0.000000,0.058577,0.004184,239
MURUNG RAYA,0.774194,0.000000,0.177419,0.040323,0.008065,0.000000,0.000000,124
MUSI BANYUASIN,0.864407,0.000000,0.110169,0.016949,0.000000,0.008475,0.000000,236
MUSI RAWAS,0.220217,0.000000,0.335740,0.205776,0.007220,0.209386,0.021661,277
NABIRE,0.814815,0.000000,0.024691,0.037037,0.000000,0.123457,0.000000,81
NAGAN RAYA,0.762332,0.000000,0.071749,0.058296,0.000000,0.071749,0.035874,223
NAGEKEO,0.830000,0.010000,0.020000,0.100000,0.000000,0.020000,0.020000,100
